Fasz Faszos;12.K;1;Tanulo;1
Kovács Anna;9.A;2010-05-14;Tanulo;84927364501
Nagy Bence;9.A;2010-08-23;Tanulo;12983746502
Tóth Eszter;9.A;2010-01-30;Tanulo;38475619203
Szabó Dániel;9.A;2010-11-11;Tanulo;91827364504
Varga Lilla;9.A;2010-03-04;Tanulo;29384756105
Kiss Gergő;9.A;2010-06-18;Tanulo;56473829106
Molnár Luca;9.A;2010-09-05;Tanulo;82736451907
Balogh Kristóf;9.A;2010-02-12;Tanulo;37482915608
Németh Zsófia;9.A;2010-07-26;Tanulo;91827364509
Farkas Máté;9.A;2010-10-09;Tanulo;19283746510
Horváth Noémi;9.B;2010-04-21;Tanulo;56473829111
Papp Ádám;9.B;2010-12-17;Tanulo;83746519212
Takács Petra;9.B;2010-06-01;Tanulo;29384756113
Juhász Levente;9.B;2010-05-03;Tanulo;91827364514
Lakatos Blanka;9.B;2010-07-12;Tanulo;82736451915
Oláh Roland;9.B;2010-01-09;Tanulo;37482915616
Mészáros Réka;9.B;2010-08-30;Tanulo;19283746517
Simon Norbert;9.B;2010-03-22;Tanulo;56473829118
Fazekas Fanni;9.B;2010-09-17;Tanulo;83746519219
Vass Dominik;9.B;2010-11-28;Tanulo;29384756120
Török Enikő;10.A;2009-02-10;Tanulo;91827364521
Bálint Benedek;10.A;2009-07-01;Tanulo;82736451922
Majoros Vivien;10.A;2009-10-14;Tanulo;37482915623
Lukács Patrik;10.A;2009-03-06;Tanulo;19283746524
Veres Lili;10.A;2009-08-19;Tanulo;56473829125
Gulyás Ákos;10.A;2009-06-07;Tanulo;83746519226
Szalai Nóra;10.A;2009-01-26;Tanulo;29384756127
Fülöp Milán;10.A;2009-11-03;Tanulo;91827364528
Sipos Dóra;10.A;2009-09-29;Tanulo;82736451929
Sándor Zoltán;10.A;2009-05-24;Tanulo;37482915630
Kelemen Tamara;10.B;2009-04-02;Tanulo;19283746531
Tóth Olivér;10.B;2009-12-08;Tanulo;56473829132
Vincze Anna;10.B;2009-07-21;Tanulo;83746519233
Antal Erik;10.B;2009-06-25;Tanulo;29384756134
Fekete Zita;10.B;2009-03-17;Tanulo;91827364535
Csonka Márton;10.B;2009-10-30;Tanulo;82736451936
Barna Dorina;10.B;2009-08-03;Tanulo;37482915637
Győri Kevin;10.B;2009-01-12;Tanulo;19283746538
Nagy Boglárka;10.B;2009-11-15;Tanulo;56473829139
